"id","region","year","conversion_factor_sec_kerosene_fos_orig","conversion_factor_sec_biokerosene_orig","conversion_factor_sec_kerosene_syn_orig","conversion_factor_sec_kerosene_orig","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
22,"DE",2024,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
23,"DE",2027,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
24,"DE",2030,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
25,"DE",2035,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
26,"DE",2040,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
27,"DE",2045,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
28,"DE",2050,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
29,"DE",2060,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
30,"DE",2070,"[1.0]","[1.0]","[1.0]","[1.0]","{""conversion_factor_sec_kerosene_fos_orig"": ""values"", ""conversion_factor_sec_biokerosene_orig"": ""values"", ""conversion_factor_sec_kerosene_syn_orig"": ""values"", ""conversion_factor_sec_kerosene_orig"": ""values""}","srd_point_sedos","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""- -"", ""conversion_factor_sec_biokerosene_orig"": ""- -"", ""conversion_factor_sec_kerosene_syn_orig"": ""- -"", ""conversion_factor_sec_kerosene_orig"": ""- -""}","{""conversion_factor_sec_kerosene_fos_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_biokerosene_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_syn_orig"": ""helper process to convert commodity name"", ""conversion_factor_sec_kerosene_orig"": ""helper process to convert commodity name""}"
