"id","region","year","capacity_p_abs_new_max","conversion_factor_sec_methane","conversion_factor_sec_elec","conversion_factor_sec_syngas_sr","cost_inv_p","cost_fix_p","lifetime","wacc","bandwidth_type","version","method","source","comment"
21,"DE",2021,"[0.0]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""5janssenSteamMethaneReforming2018"", ""conversion_factor_sec_syngas_sr"": ""5katebahAnalysisHydrogenProduction2022"", ""cost_inv_p"": ""5janssenSteamMethaneReforming2018,5katebahAnalysisHydrogenProduction2022"", ""cost_fix_p"": ""5janssenSteamMethaneReforming2018"", ""lifetime"": ""ownAssumption,5ieaTechnologyRoadmapHydrogen2015"", ""wacc"": """"}",""
22,"DE",2024,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
23,"DE",2027,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
24,"DE",2030,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
25,"DE",2035,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
26,"DE",2040,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
27,"DE",2045,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
28,"DE",2050,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
29,"DE",2060,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
30,"DE",2070,"[]","[1.22]","[0.037]","[1.0]","[579393.0]","[20858.0]","[27.5]","global_scalars.wacc","{""capacity_p_abs_new_max"": ""values"", ""conversion_factor_sec_methane"": ""values"", ""conversion_factor_sec_elec"": ""values"", ""conversion_factor_sec_syngas_sr"": ""values"", ""cost_inv_p"": ""values"", ""cost_fix_p"": ""values"", ""lifetime"": ""values"", ""wacc"": """"}","srd_point_sedos","{""conversion_factor_sec_methane"": ""normalized to 1"", ""conversion_factor_sec_elec"": ""literature value"", ""conversion_factor_sec_syngas_sr"": ""literature value"", ""cost_inv_p"": ""value for SMR to hydrogen assumed with monetary conversion from €2015 to €2021 and costs for WGS and PSA subtracted (28.3% of CAPEX) according to Katebah et al. (2022)"", ""cost_fix_p"": ""assumed to be similar to SMR to hydrogen at 3.6%CAPEX according to source which was multiplied with the column cost_inv_p"", ""lifetime"": ""assumed to be similar to SMR to hydrogen"", ""wacc"": """"}","{""conversion_factor_sec_methane"": ""ownCalculation"", ""conversion_factor_sec_elec"": ""ownAssumption"", ""conversion_factor_sec_syngas_sr"": ""ownAssumption"", ""cost_inv_p"": ""ownAssumption"", ""cost_fix_p"": ""ownAssumption"", ""lifetime"": ""ownAssumption,ownAssumption"", ""wacc"": """"}",""
